"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/books",4260,0,120,144,86,828,180,37.57,0.00,120,140,150,170,220,280,390,500,800,830,830,830
"None","Aggregated",4260,0,120,144,86,828,180,37.57,0.00,120,140,150,170,220,280,390,500,800,830,830,830
